Player ID,Name,img_path,Nationality,Position,Team
1,Shuhei Yamada,,Japanese,GK,Albirex Niigata
2,Tomoki Menda,,Japanese,DF,Albirex Niigata
3,Takuya Akiyama,,Japanese,DF,Albirex Niigata
4,Yuuki Yamanouchi,,Japanese,DF,Albirex Niigata
5,Naofumi Tanaka,,Japanese,DF,Albirex Niigata
6,Shuto Inaba,,Japanese,MF,Albirex Niigata
7,Ryota Nakai,,Japanese,MF,Albirex Niigata
8,Hiroyoshi Kamata,,Japanese,FW,Albirex Niigata
9,Tsubasa Sano,,Japanese,FW,Albirex Niigata
10,Kento Nagasaki,,Japanese,MF,Albirex Niigata
11,Shoichiro Sakamoto,,Japanese,FW,Albirex Niigata
12,Yasutaka Yanagi,,Japanese,FW,Albirex Niigata
13,Ryuya Motoda,,Japanese,MF,Albirex Niigata
14,Shoma Kondo,,Japanese,DF,Albirex Niigata
15,Rui Kumada,,Japanese,DF,Albirex Niigata
16,Satoru Matuki,,Japanese,DF,Albirex Niigata
17,Minoru Iwaki,,Japanese,FW,Albirex Niigata
18,Kenya Kodama,,Japanese,MF,Albirex Niigata
19,Yuki Kataoka,,Japanese,MF,Albirex Niigata
20,Yosuke Nozawa,,Japanese,GK,Albirex Niigata
21,Junpei Yamada,,Japanese,GK,Albirex Niigata
22,Kouki Sato,,Japanese,MF,Albirex Niigata
23,Yosuke Yamazaki,,Japanese,FW,Albirex Niigata
24,Renonathan Amurthalingam,,Singaporean,GK,Balestier Khalsa
25,Fadli Kamis,,Singaporean,DF,Balestier Khalsa
26,Hanafi Salleh,,Singaporean,DF,Balestier Khalsa
27,Ashrul Syafeeq,,Singaporean,DF,Balestier Khalsa
28,Shah Hirul,,Singaporean,MF,Balestier Khalsa
29,Tajeli Salamat,,Singaporean,MF,Balestier Khalsa
30,Aung Kyaw Naing,,Burmese,MF,Balestier Khalsa
31,Raihan Rahman,,Singaporean,MF,Balestier Khalsa
32,Kyaw Zayar Win,,Burmese,MF,Balestier Khalsa
33,Nanda Linn Kyaw Chit,,Burmese,FW,Balestier Khalsa
34,Huzaifah Aziz,,Singaporean,DF,Balestier Khalsa
35,Sheikh Hadi,,Singaporean,DF,Balestier Khalsa
36,Zulkhair Mustaffa,,Singaporean,DF,Balestier Khalsa
37,Syahfuddin Eska,,Singaporean,DF,Balestier Khalsa
38,Naqiuddin Nodin,,Singaporean,GK,Balestier Khalsa
39,Ahmad Syahir,,Singaporean,DF,Balestier Khalsa
40,Zaiful Nizam,,Singaporean,GK,Balestier Khalsa
41,Jonathan Tan,,Singaporean,MF,Balestier Khalsa
